LaunchSite,Latitude,Longitude,Class,PayloadMass,BoosterVersion,Outcome
KSC LC 39A,28.6080585,-80.6039558,1,15400.0,Falcon 9,Success
KSC LC 39A,28.6080585,-80.6039558,1,9525.0,Falcon 9,Success
CCAFS SLC 40,28.5618571,-80.577366,1,15400.0,Falcon 9,Success
CCAFS SLC 40,28.5618571,-80.577366,1,15400.0,Falcon 9,Success
CCAFS SLC 40,28.5618571,-80.577366,1,3880.0,Falcon 9,Success
CCAFS SLC 40,28.5618571,-80.577366,1,6104.959411764706,Falcon 9,Success
CCAFS SLC 40,28.5618571,-80.577366,1,15400.0,Falcon 9,Success
CCAFS SLC 40,28.5618571,-80.577366,1,1600.0,Falcon 9,Success
KSC LC 39A,28.6080585,-80.6039558,1,15400.0,Falcon 9,Success
KSC LC 39A,28.6080585,-80.6039558,1,15400.0,Falcon 9,Success
KSC LC 39A,28.6080585,-80.6039558,1,15400.0,Falcon 9,Success
CCAFS SLC 40,28.5618571,-80.577366,1,15400.0,Falcon 9,Success
CCAFS SLC 40,28.5618571,-80.577366,1,3681.0,Falcon 9,Success
